

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
051.410  000.055  000.055: require('lspconfig.server_configurations.pyright')
051.890  000.053  000.053: require('lspconfig.server_configurations.rnix')
052.208  000.053  000.053: require('lspconfig.server_configurations.rust_analyzer')
052.402  000.049  000.049: require('lspconfig.server_configurations.tsserver')
052.577  000.045  000.045: require('lspconfig.server_configurations.gopls')
052.723  000.049  000.049: require('lspconfig.server_configurations.ccls')
052.874  000.060  000.060: require('lspconfig.server_configurations.bashls')
053.063  000.047  000.047: require('lspconfig.server_configurations.cmake')
053.195  000.047  000.047: require('lspconfig.server_configurations.html')
053.368  000.054  000.054: require('lspconfig.server_configurations.cssls')
053.558  000.067  000.067: require('lspconfig.server_configurations.dartls')
054.309  000.075  000.075: require('catppuccin')
054.394  000.069  000.069: require('catppuccin.config')
055.448  000.046  000.046: require('catppuccin.lib.highlighter')
055.641  000.060  000.060: require('catppuccin.lib.hsluv')
055.672  000.138  000.078: require('catppuccin.utils.colors')
055.674  000.185  000.047: require('catppuccin.lib.ui')
055.678  000.227  000.042: require('catppuccin.lib.mapper')
055.719  000.039  000.039: require('catppuccin.palettes')
055.766  000.042  000.042: require('catppuccin.palettes.frappe')
055.840  000.041  000.041: require('catppuccin.groups.properties')
055.904  000.057  000.057: require('catppuccin.groups.syntax')
055.994  000.050  000.050: require('catppuccin.groups.editor')
056.072  000.044  000.044: require('catppuccin.groups.integrations.cmp')
056.160  000.045  000.045: require('catppuccin.groups.integrations.telescope')
056.214  000.041  000.041: require('catppuccin.groups.integrations.indent_blankline')
056.274  000.046  000.046: require('catppuccin.groups.integrations.native_lsp')
056.381  000.043  000.043: require('catppuccin.groups.integrations.nvimtree')
056.441  000.035  000.035: require('catppuccin.groups.integrations.gitsigns')
056.500  000.038  000.038: require('catppuccin.groups.integrations.markdown')
056.559  000.037  000.037: require('catppuccin.groups.integrations.notify')
056.620  000.038  000.038: require('catppuccin.groups.integrations.dashboard')
056.715  000.071  000.071: require('catppuccin.groups.integrations.treesitter')
056.904  000.045  000.045: require('vim.treesitter.language')
056.917  000.138  000.093: require('vim.treesitter.query')
056.983  000.065  000.065: require('vim.treesitter.languagetree')
057.019  000.301  000.098: require('vim.treesitter')
057.081  000.059  000.059: require('vim.treesitter.highlighter')
057.173  000.047  000.047: require('catppuccin.groups.terminal')
058.047  002.667  001.320: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/catppuccin-nvim/colors/catppuccin.lua
058.140  000.082  000.082: require('alpha')
058.207  000.065  000.065: require('alpha.themes.dashboard')
058.380  000.035  000.035: require('bufferline.lazy')
058.429  000.042  000.042: require('bufferline.constants')
058.484  000.053  000.053: require('bufferline.commands')
058.516  000.241  000.110: require('bufferline')
058.581  000.060  000.060: require('bufferline.utils')
058.682  000.096  000.096: require('bufferline.config')
058.821  000.101  000.101: require('bufferline.groups')
058.903  000.048  000.048: require('bufferline.colors')
059.105  000.067  000.067: require('bufferline.highlights')
059.653  000.008  000.008: require('vim.keymap')
059.662  000.067  000.059: require('bufferline.hover')
059.797  000.089  000.089: require('bufferline.ui')
060.109  000.284  000.284: require('nvim-web-devicons')
062.085  000.048  000.048: require('lualine_require')
062.413  000.463  000.415: require('lualine')
064.487  000.047  000.047: require('lualine.utils.mode')
067.797  000.067  000.067: require('toggleterm.lazy')
067.865  000.063  000.063: require('toggleterm.constants')
068.007  000.124  000.124: require('toggleterm.terminal')
068.016  000.385  000.131: require('toggleterm')
068.124  000.049  000.049: require('toggleterm.colors')
068.182  000.055  000.055: require('toggleterm.utils')
068.195  000.176  000.073: require('toggleterm.config')
068.432  000.080  000.080: require('toggleterm.commandline')
068.999  000.298  000.298: require('nvim-treesitter.parsers')
069.064  000.062  000.062: require('nvim-treesitter.utils')
069.071  000.431  000.070: require('nvim-treesitter.ts_utils')
069.075  000.478  000.047: require('nvim-treesitter.tsrange')
069.114  000.037  000.037: require('nvim-treesitter.caching')
069.123  000.593  000.077: require('nvim-treesitter.query')
069.140  000.687  000.095: require('nvim-treesitter.configs')
069.268  000.048  000.048: require('nvim-autopairs._log')
069.318  000.047  000.047: require('nvim-autopairs.utils')
069.458  000.057  000.057: require('nvim-autopairs.conds')
069.465  000.104  000.047: require('nvim-autopairs.rule')
069.467  000.147  000.043: require('nvim-autopairs.rules.basic')
069.474  000.328  000.086: require('nvim-autopairs')
069.568  000.053  000.053: require('nvim-autopairs.fastwrap')
069.942  000.047  000.047: require('nvim-autopairs.ts-conds')
069.947  000.102  000.056: require('nvim-autopairs.rules.ts_basic')
070.524  000.035  000.035: require('hop.perm')
070.596  000.030  000.030: require('hop.priority')
070.601  000.074  000.044: require('hop.hint')
070.603  000.151  000.042: require('hop.defaults')
070.688  000.036  000.036: require('hop.window')
070.692  000.087  000.051: require('hop.jump_target')
070.698  000.365  000.127: require('hop')
070.735  000.035  000.035: require('hop.highlight')
071.121  000.159  000.159: require('colorizer.trie')
071.252  000.128  000.128: require('colorizer.utils')
071.260  000.352  000.066: require('colorizer.color')
071.351  000.047  000.047: require('colorizer.sass')
071.355  000.093  000.046: require('colorizer.matcher')
071.398  000.042  000.042: require('colorizer.tailwind')
071.404  000.555  000.068: require('colorizer.buffer')
071.412  000.642  000.088: require('colorizer')
071.434  065.764  014.721: sourcing /home/sioodmy/.config/nvim/init.lua
071.447  002.913: sourcing vimrc file(s)
072.321  000.022  000.022: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/vim-nix/ftdetect/nix.vim
072.799  000.907  000.885: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/filetype.lua
